Nombre,Apellido,Fecha de nacimiento,Sexo,DNI,Mail,Contrasenia,Legajo,Rol,Tareas
Raul,Baul,15/10/1985,M,17232974,raulbaul@yahoo.com,PolloLoco123,1,admin,
Alejandro,Pérez,23/04/1990,M,70822015,alejandro.perez@gmail.com,P@ssw0rd123,2,Administrativo,
Sofía,González,07/12/1988,F,22316771,sofia.gonzalez@yahoo.com,SecuR3#Pass,3,Administrativo,
Daniel,Rodríguez,30/06/1982,M,11655961,daniel.rodriguez@hotmail.com,9aBcD3fGh,4,Administrativo,
Valentina,Martínez,19/09/1989,F,82605872,valentina.martinez@gmail.com,Qu1ck$1lver,5,Administrativo,
Martín,López,14/03/1995,M,19105398,martin.lopez@yahoo.com,12Xyz!ab,6,Administrativo,
Camila,Sánchez,25/11/1981,F,50678326,camila.sanchez@hotmail.com,R@1nb0w$un,7,Administrativo,
Mateo,García,02/07/1993,M,89107617,mateo.garcia@gmail.com,P@ssw0rd2023,8,Mantenimiento,
Lucía,Fernández,10/05/1984,F,21388959,lucia.fernandez@yahoo.com,5tR0nG#P@ss,9,Mantenimiento,
Diego,Hernández,28/01/1992,M,85882826,diego.hernandez@hotmail.com,M0n3y#M@ker,10,Mantenimiento,
Antonella,Díaz,03/08/1987,F,90832419,antonella.diaz@gmail.com,Fr13nd$F0r3v3r,11,Mantenimiento,
Andrés,Torres,12/09/1986,M,96453498,andres.torres@yahoo.com,C0ff33#L0v3r,12,Mantenimiento,
Isabella,Vargas,20/06/1991,F,83462933,isabella.vargas@hotmail.com,7h3S@v1or$,13,Mantenimiento,
Javier,Ramos,09/02/1984,M,32672897,javier.ramos@gmail.com,8#SnowWh1te,14,Mantenimiento,
Valeria,Romero,27/07/1983,F,44560303,valeria.romero@yahoo.com,P@ssw0rd789,15,Limpieza,
Sebastián,Mendoza,18/04/1980,M,51898335,sebastian.mendoza@hotmail.com,D3lic1ous&F00d,16,Limpieza,
Paula,Castro,06/11/1985,F,19364258,paula.castro@gmail.com,4llTh@tJ@zz,17,Limpieza,
Lucas,Silva,08/10/1983,M,14807766,lucas.silva@yahoo.com,3n3rgy#Dr1nk,18,Limpieza,
Amelia,Morales,13/12/1982,F,42632236,amelia.morales@hotmail.com,T3chN0!rD,19,Limpieza,
Gabriel,Ortega,04/01/1987,M,42535402,gabriel.ortega@gmail.com,11St@rW@rs,20,Limpieza,
Natalia,Cordero,22/03/1989,F,51850104,natalia.cordero@yahoo.com,P@ssw0rd11,21,Limpieza,
Adrián,Ríos,16/05/1990,M,94912395,adrian.rios@hotmail.com,6#D@rkKn1ght,,Cliente,
Emma,Jiménez,31/07/1988,F,18851366,emma.jimenez@gmail.com,H@ppyD@ys88,,Cliente,
Nicolás,Herrera,29/09/1980,M,58167542,nicolas.herrera@yahoo.com,22L3tItB3,,Cliente,
Renata,Guzmán,24/06/1994,F,60843602,renata.guzman@hotmail.com,Th1$Is4M3,,Cliente,
Carlos,Núñez,11/08/1992,M,18902184,carlos.nunez@gmail.com,R3s1st@nc3!,,Cliente,
Victoria,Salazar,17/04/1981,F,45623964,victoria.salazar@yahoo.com,M@gn1f1c3nt7,,Cliente,
Juan,Ortiz,05/03/1986,M,62840852,juan.ortiz@hotmail.com,N0Rth#P0l3,,Cliente,
Julia,Ruiz,01/02/1991,F,22566739,julia.ruiz@gmail.com,33rdT1m3Lucky,,Cliente,
Eduardo,Álvarez,26/12/1987,M,62018827,eduardo.alvarez@yahoo.com,L0ng&L1v3Us,,Cliente,
Ana,Pérez,21/10/1983,F,41420061,ana.perez@hotmail.com,P@ssw0rd42,,Cliente,
Marcos,Flores,15/01/1993,M,64350101,marcos.flores@gmail.com,W0nd3rfulD@y,,Cliente,
Mariana,Calderón,20/07/1980,F,83347036,mariana.calderon@yahoo.com,2B0rn2R1d3,,Cliente,
Diego,Chacón,18/09/1995,M,10480912,diego.chacon@hotmail.com,1nfin1ty&W0nd3r,,Cliente,
Laura,Rojas,09/11/1984,F,61435869,laura.rojas@gmail.com,4Seasons#W1nt3r,,Cliente,
Felipe,Gómez,07/06/1990,M,26437857,felipe.gomez@yahoo.com,P@ssw0rd99,,Cliente,
Renata,Aguilar,02/08/1981,F,92187644,renata.aguilar@hotmail.com,C@pt@1n#Am3r1ca,,Cliente,
Raúl,Avila,14/12/1988,M,67694800,raul.avila@gmail.com,T3rm1n@t0r#2,,Cliente,
Gabriela,Navarro,22/03/1986,F,81529058,gabriela.navarro@yahoo.com,H3r0&V1ll@1n,,Cliente,
Ángel,Castro,10/05/1992,M,73184731,angel.castro@hotmail.com,2Much2H@ndl3,,Cliente,
Valentina,Soto,04/04/1982,F,42606569,valentina.soto@gmail.com,Un1c0rn$R34l,,Cliente,
Sergio,Zamora,23/09/1989,M,92653135,sergio.zamora@yahoo.com,7h3Gr3@t#G@tsby,,Cliente,
Clara,Rivera,08/02/1985,F,72070269,clara.rivera@hotmail.com,R3s1l13nt#H3@rt,,Cliente,
Javier,Mora,19/01/1987,M,40175952,javier.mora@gmail.com,10V3&L1ght,,Cliente,
Carolina,Campos,12/11/1994,F,93479200,carolina.campos@yahoo.com,R@1n!nSp@1n,,Cliente,
Guillermo,Esquivel,03/07/1985,M,82142307,guillermo.esquivel@hotmail.com,N3v3rG1v3Up!,,Cliente,
Renata,Durán,27/06/1991,F,32739004,renata.duran@gmail.com,3l3ctr0n1cM1nd,,Cliente,
Ricardo,Solís,01/10/1983,M,62429990,ricardo.solis@yahoo.com,C0ff33L0v3rs,,Cliente,
Ana Sofía,León,16/08/1993,F,20659349,ana.sofia.leon@hotmail.com,C@pt@1nM@rv3l,,Cliente,
Esteban,Serrano,05/03/1980,M,87686956,esteban.serrano@gmail.com,F@nt@st1c4Ever,,Cliente,
